ANO	RELEVANTE	DOI	AUTORES	TITULO	REVISTA	PAGINAS	VOLUME	NUMERO	ISSN	item	QUALIS	QUALIS-SIMILAR
2022		http://dx.doi.org/10.53660/conj-1649-2g18	BISPO, C. S.; DOS SANTOS, R. C. G.; MAGALHAES, R. S.; DOS SANTOS, A. M.; OLIVEIRA, E.; SANTOS, P. S.; LISBOA, G. D. S.; SILVA, V. A.	DinÃ¢mica da ocorrÃªncia dos incÃªndios florestais no Parque Nacional da Chapada Diamantina, Bahia, Brasil	CONJECTURAS	135-158	22		16575830		B4		
2022		http://dx.doi.org/10.14393/rbcv74n3-60846	CREMON, E. H.; BETTIOL, G. M.; JUNIOR MAGNA, J. P.; MACEDO, F. C.; RABELO, M. W. O.	Avaliação da altimetria do MDE COP-30 no Centro-Oeste do Brasil	REVISTA BRASILEIRA DE CARTOGRAFIA (IMPRESSO)	536-546	74		05604613		B2		
2022		http://dx.doi.org/10.1007/s10708-022-10595-7	DA SILVA, C. F. A.; DE ANDRADE, M. O.; MAIA, M. L. A.; DOS SANTOS, A. M.; PORTIS, G. T.	Remote Sensing for identification of Trip Generating Territories in support of urban mobility planning and monitoring	GEOJOURNAL	1-13	1		03432521		A3		
2022		http://dx.doi.org/10.1080/00207233.2022.2099109	DA SILVA, C. F. A.; DOS SANTOS, A. M.; DE MELO, S. N.; RUDKE, A. P.; JUNIOR DE ALMEIDA, P. M.	Spatial modelling of deforestation-related factors in the Brazilian semi-arid biome	INTERNATIONAL JOURNAL OF ENVIRONMENTAL STUDIES	1-20	1		00207233		A3		
2022		http://dx.doi.org/10.1177/10887679221128	DA SILVA, C. F. A.; MELO, S.; VAUGHAN, A. D.; DOS SANTOS, A. M.; JUNIOR DE ALMEIDA, P. M.	The Influence of Racial Minorities and Ethnic Heterogeneity in the Estimation of Homicide Rates in the Northeast Region of Brazil: Implications for Social Disorganization Theory in the Global South	Homicide Studies	1-	1		10887679		A2		
2022		http://dx.doi.org/10.1111/tmi.13731	DA SILVA, C. F. A.; SILVA, M. C.; DOS SANTOS, A. M.; RUDKE, A. P.; DO BONFIM, C. V.; PORTIS, G. T.; JUNIOR DE ALMEIDA, P. M.; COUTINHO, M. B. S.	Spatial analysis of socioeconomic factors and their relationship with the cases of COVID-19 in Pernambuco, Brazil	TROPICAL MEDICINE  INTERNATIONAL HEALTH	1-17			13602276		A1		
2022		http://dx.doi.org/10.1016/j.jlumin.2021.118558	DO NASCIMENTO, E. O.; BECATTI, M. J. P.; CALDAS, L. V.; DE OLIVEIRA, L. N.	Design of Experiments (DoE) method for solar protective films via UV-Vis and NIR spectrophotometry measurements	JOURNAL OF LUMINESCENCE	118558-	242		00222313		A2		
2022		http://dx.doi.org/10.3389/FPLS.2022.1041924	DOMBINOV, V.; HERZEL, H.; MEILLER, M.; MULLER, F.; WILLBOLD, S.; ZANG, J. W.; DA FONSECA-ZANG, W. A.; ADAM, C.; KLOSE, H.; POORTER, H.; JABLONOWSKI, N. D.; SCHREY, S. D.	Sugarcane bagasse ash as fertilizer for soybeans: effects of biofuel additives on ash composition, mineralogy, phosphorus extractability and plant availability	Frontiers in Plant Science	4881-	13		1664462X		A1		
2022			DOS SANTOS, A. M.; COUTO, M. F.	Divulgação científica e da extensão universitária nas redes sociais em contexto da pandemia do Covid 19: relato de uma experiência	EXTRAMUROS - REVISTA DE EXTENSÃO DA UNIVASF	39-54	10		23183640		B3		
2022		http://dx.doi.org/10.1007/s10113-022-01937-9	DOS SANTOS, A. M.; DA SILVA, C. F. A.; DE MELO, S. N.; JUNIOR DE ALMEIDA, P. M.; BUENO, L. F.	Influence of deforestation inside and outside indigenous lands in the Brazilian Amazon Biome	Regional Environmental Change	77-82	22		14363798		A2		
2022		http://dx.doi.org/10.11137/1982-3908_45_47481	DOS SANTOS, A. M.; DO CARMO, N. C.; NUNES, F. G.; DE AGUIAR, L. A.; DA SILVA, C. F. A.	DIGITAL IMAGE CLASSIFICATION: A COMPARISON OF CLASSIC METHODS FOR LAND COVER AND LAND USE MAPPING	Anuário do Instituto de Geociências - UFRJ	1-10	45		19823908		B2		
2022		http://dx.doi.org/10.3390/en15031217	FARIA, A.; ALVARENGA, B.; LEMOS, G.; VIAJANTE, G.; DOMINGOS, J. L.; MARRA, E.	Energy Efficiency and Distributed Generation: A Case Study Applied in Public Institutions of Higher Education	Energies	1217-	15		19961073		A2		
2022		http://dx.doi.org/10.1016/j.apsusc.2021.152195	FERNANDES, I. L.; BARBOSA, D. P.; DE OLIVEIRA, S. B.; DA SILVA, V. A.; SOUSA, M. H.; MONTERO-MUNOZ, M.; COAQUIRA, J. A. H.	Synthesis and characterization of the MNP@SiO2@TiO2 nanocomposite showing strong photocatalytic activity against methylene blue dye	APPLIED SURFACE SCIENCE	152195-	580		01694332		A1		
2022		http://dx.doi.org/10.18605/2175-7275/cereus.v14n3p82-94	FURTADO, B. C.; DOMINGOS, J. L.; ALVES, A. J.; MAGALHAES, A. S.	Análise da qualidade da energia elétrica a partir da implantação de Sistema Fotovoltaico	REVISTA CEREUS	82-94	14		21757275		B1		
2022			NUNES, F. G.; DOS SANTOS, A. M.	Uso e cobertura da terra e efetividade das normativas legais em unidades de conservação no estado de Goiás -Brasil	BOLETIM DE GEOGRAFIA (ONLINE)	170-185	40		21764786		A2		
