ID_MEMBRO	RELEVANTE	DOI	AUTORES	TITULO	EDICAO	EDITORA	ANO	VOLUME	PAGINAS	ITEM
{0}	None		SANTOS, A. M. D.	AÇÕES NA ESCOLA PARA EDUCAÇÃO E SEGURANÇA NO TRÂNSITO	1	UFG	2021	1	135		
{5}	None		SCHIMIDT, F.; NETO SIL, C. M. E.	Cognoscere: cadernos temáticos de pesquisa do IFG	1	Editora IFG	2021	1	237		
{13}	None		FRANCO, A. L. C.; ALVARENGA, B.; CALIXTO, W.	Otimização aplicada ao projeto de enrolamentos de máquinas CA: uma modelagem computacional utilizando algoritmos genéticos	1	Novas Edições Acadêmicas	2019		148		
{0}	None	10.24824/978854442676.0	COELHO, A. M. S.; SILVA, A. A.; DOS SANTOS, A. M.; AUGUSTO, A. R.; MICHALSKI, A.; SILVA, B. E. N.; DE OLIVEIRA, C. P.; CHARLES, C. J.; XIMENES, C. C.; COIMBRA, C. C.; SOARES, D. Z.; PEDROSA, D. L. R.; DE BRITO, D. L.; MENEZES, E. F.; ALMEIDA, E. C. G. S.; DA COSTA, G. M.; ALVES, H. V. S.; CIDREIRA, J. H.; JUNIOR DE OLIVEIRA, J. G. G.; SOUZA, J. A. O.; ZUIM, L.; DE ALMEIDA, L. D. G. S.; LIMA, L. A. P.; SILVA, M. L. S.; SOARES, M. V. P. B.; PEREIRA, P. C. B.; DE MESQUITA, R. N.; SILVA, S. M. A.; MACHADO, S. M. T.; LIMA, T. O.; FERREIRA, T. F. S.; PEREIRA, W. A.	Diálogos geográficos: saberes, conhecimentos tradicionais, etnocientíficos e territorialidades alternativas	1	Editora CRV	2018				
{11}	None		DE SOUZA, L. B.; OLIVEIRA, S.; BARBOSA, D. P.; DE OLIVEIRA, S. B.	Redução fotocatalítica de nitrato em água	1	SIA OmniScriptum Publishing	2018	1	52		
{13}	None		GOMES, F. A.; GOMES, V. M.; CALIXTO, W. P.	Otimização aplicada a identificação de sistemas	1	Novas Edições Acadêmicas	2018		116		
{2}	None		PINTO, L. S.; DOMINGUES, E. G.; NETO D	Uso Da Vinhaça Para Geração De Biogás E Eletricidade: Análise De Risco	1	Novas Edições Acadêmicas	2018		148		
{13}	None		REIS, M. R. C.; CALIXTO, W. P.; GANZAROLI, C. A.	Métodos de otimização aplicados à sintonia do controlador PI	1	Novas Edições Acadêmicas	2018		132		
{1}	None		FARIA, M. A. A.; STECANELLA, P. A. J.; ALVES, A. J.; DOMINGUES, E. G.	Geração de eletricidade utilizando termogeradores (TEG)	1	Novas Edições Acadêmicas	2017		132		
{0}	None		PINHEIRO, Z.; BARBOZA, J. J.; SANTOS, A. M. D.	Tradições reinventadas	1	Temática Editora	2017	1	178		
{0}	None		RAMOS, H. F.; NUNES, F. G.; SANTOS, A. M. D.	Geotecnologia Aplicada a Análise Espacial de indicadores e desenvolvimento socioambiental e urbano	1	Novas edições acadêmicas	2017	1	176		
{1}	None		RODRIGUES, J. M.; ALVES, A. J.; DOMINGOS, E. G.	Geradores Fotovoltaicos sobre telhados: Análise Técnica e Econômica	1	Novas Edições Acadêmicas	2017		273		
{1}	None		ALVES, A. J.; NETO MARTI, L.	Modelagem da Máquina Síncrona Considerando o Efeito da Curvatura Polar	1	Novas Edições Acadêmcias	2016		95		
{13}	None		FILHO SILV, A. M.; CALIXTO, W. P.	Correlação entre propriedades físicas e parâmetros elétricos do solo: mapeamento da variabilidade espacial do solo através de suas propriedades elétricas	1	Novas Edições Acadêmicas	2016		100		
