ID-MEMBRO	RELEVANTE	DOI	AUTORES	TITULO	LIVRO	EDICAO	EDITORA	ANO	VOLUME	PAGINAS	ITEM
{1}			SANTOS, A. M. D.; NUNES, F. G.; SILVA, C. F. A.; SATO, S. S.	A violência contra povos indígenas na Amazônia Brasileira	CABURAÍ AO CHUÍ 2: CARTOGRAFIAS DA VIOLÊNCIA, OLHARES  INTERDISCIPLINARES	2	Temática	2024		46-59		
{1}		10.5935/978-65-85808-36-1	SANTOS, A. M. D.; SOUZA, I. P.; COUTO, M. F.; FLAVIO, G. S.; DIAS, M. F.; SILVA, C. F. A.; ANDROLAGE, J. S.	A violência no Brasil: uma revisão bibliométrica	CABURAÍ AO CHUÍ 2: CARTOGRAFIAS DA VIOLÊNCIA, OLHARES  INTERDISCIPLINARES	2	Temática	2024		8-27		
{3}		10.37885/230412677	ALBUQUERQUE, F. M.; JR, C. R. S.	A inteligência dos prédios	Coletânea da Pós-graduação em Telecomunicações: prédios inteligentes - Volume II	1	Científica Digital	2023		118-133		
{0, 22}		10.37885/230412699	AMARAL, F. G.; ARAUJO, W. R. H.; ANDRADE, M. E. S. F.; REIS, M. R. C.; SOUSA, P. C.; SOARES, R. O.; MAGALHAES, A. S.; CALIXTO, W. P.	Métrica de desempenho da avaliação profissional em cursos técnicos	Pensando a educação profissional, técnica e tecnológica	1	Editora Científica Digital Ltda.	2023	1	91-116		
{22}		10.37885/230412629	CASTRO, J. R.; FURRIEL, B. C. R. S.; REIS, M. R. C.; PACHECO, V. M. G.; CALIXTO, W. P.	Processo didático no ensino da metodologia científica	Pensando a educação profissional, técnica e tecnológica	1	Editora Científica Digital Ltda.	2023	1	318-342		
{3}		10.37885/230412675	CORDEIRO, B. M. O. S.; OLIVEIRA, D. S.; ALMADA, F. L. N.; JR, C. R. S.	Monitoramento inteligente da qualidade do ar para ambientes de trabalho remoto	Coletânea da Pós-graduação em Telecomunicações: prédios inteligentes - Volume II	1	Científica Digital	2023		85-99		
{22}		10.37885/230312299	EFEL, L. M. S.; ARAUJO, W. R. H.; CALIXTO, W. P.	Exposição midiática do ensino remoto em tempos e pandemia	Pensando a educação profissional, técnica e tecnológica	1	Editora Científica Digital Ltda.	2023	1	286-316		
{22}		10.37885/220709322	FILHO SILV, A. M.; ARAUJO, W. R. H.; CALIXTO, W. P.; SANTOS, P. C. S.; FURRIEL, B. C. R. S.; REIS, M. R. C.	Estudo dos sintomas da evasão escolar no ensino de jovens e adultos utilizando redes neurais artificiais	Pensando a educação profissional, técnica e tecnológica	1	Editora Científica Digital Ltda.	2023	1	38-67		
{22}		10.37885/220509057	FREITAS, L. W. O.; FURRIEL, B. C. R. S.; REIS, M. R. C.; CALIXTO, W. P.	Proposta de unificação dos glossários da língua brasileira de sinais	Pensando a educação profissional, técnica e tecnológica	1	Editora Científica Digital Ltda.	2023	1	144-170		
{0}		10.37885/230412672	MAGALHAES, A. S.; BULHOES, J. S.; MARTIN, R. P.; FRAZAO, P. L.	APLICAÇÃO DE RELIGADORES AUTOMÁTICOS PARA REDUÇÃO DOS ÍNDICES DE CONTINUIDADE EM REDES DE DISTRIBUIÇÃO DA CHESP	Coletânea da Pós-graduação em Telecomunicações: prédios inteligentes - Volume II	1	EDITORA CIENTÍFICA DIGITAL LTDA	2023	1	31-49		
