ID_MEMBRO	RELEVANTE	AUTORES	TITULO	NOME MEDIO	DATA	ANO	VOLUME	PAGINAS	ITEM
{17}		OLIVEIRA, D. P.; ZANG, W. A. F.; ZANG, J. W.; DA FONSECA, R. C. B.	Recovery of Recyclables from Medical Waste: Innovative Holistic Methodology	II INTERNATIONAL SEVEN MULTIDISCIPLINARY CONGRESS	01022023	2023		42-55		
{22}		CALIXTO, W. P.	Tecnologia Assistiva proporciona melhor comunicação para pessoas surdas	Assessoria de Comunicação Social do Instituto Federal de Goiás	26042021	2021		-		
{22}		CALIXTO, W. P.	Coronavírus: técnica utilizada em pulmões artificiais quadruplica a capacidade de respiradores	G1	13042020	2020		-		
{22}		CALIXTO, W. P.; JUNIOR CASTRO, A. P.	Artigo de representantes do TJGO e UFG é publicado em destaque na revista comemorativa aos 15 anos do CNJ	Revista Eletrônica CNJ	18062020	2020		-		
{22}		FURRIEL, G. P.; REIS, M. R. C.; RIBEIRO, L. E. B.; OLIVEIRA, S. B.; CALIXTO, W. P.	Novos experimentos apontam soluções à pandemia	Diretoria de Comunicação Social e Eventos do IFG/FAPEG	23042020	2020		-		
{22}		CALIXTO, W. P.	Startup de alunos do IFG fica em segundo lugar nacional no Programa Células Empreendedoras	Assessoria de Comunicação Social do Instituto Federal de Goiás		2018		-		
{22}		CALIXTO, W. P.; DUARTE, E. N.; SILVA, J. R.; ALVES, L. P.	Lançamento do Projeto Células Empreendedoras terá transmissão ao vivo	Assessoria de Comunicação Social do IFG	09042018	2018		-		
{22}		CALIXTO, W. P.; FURRIEL, B. C. R.; GOBBES, J. A. C.; RIBEIRO, L. E. B.; REIS, M. R. C.; SOUZA, R. R.; OLIVEIRA, S. B.; GOMES, V. M.	Projeto Células Empreendedoras dá oportunidades de criação de pequenas empresas que visam ao desenvolvimento social	Assessoria de Comunicação Social do IFG	04042018	2018		-		
{12, 21}		ZANG, J. W.; DA FONSECA-ZANG, W. A.	IFG, Brasil e Alemanha: novas parcerias em Biotecnologia.	1o Guia Brasil-Alemanha de Inovação	20122016	2016		69-70		
{12, 21}		ZANG, J. W.; DA FONSECA-ZANG, W. A.	IFG, Brazil and Germany: new partnerships in Biotechnology.	1st German-Brazilian Innovation Guide	20122016	2016		69-70		
{2}		ALVES, A. J.; MENITA, B. G.; DOMINGOS, E. G.; FARIA, M. A. A.; STECANELLA, P. A. J.; CALIXTO, W. P.	MÉTODO MPPT PARA SISTEMA FOTOVOLTAICO BASEADO NA TÉCNICA DA CONDUTÂNCIA INCREMENTAL	Revista CTS IFG Luziânia		2015		-		
