ID_MEMBRO	RELEVANTE	DOI	AUTORES	TITULO	NOME EVENTO	ANO	VOLUME	PAGINAS	ITEM
{19}			ALVES, F. C. R.; MENDES, T. A.	Influência de Parâmetros Físicos na Medição do Oxigênio Dissolvido em Diferentes Equipamentos Portáteis	1º Prêmio CREA-GO de Destaque Acadêmico - 2023	2023		-		
{16}			CAETANO, E. C.; PATROCINIO, G. G.; GOMES, R. A.	Novos Negócios em TIC	I Fecin ? Feira integrada de ciências do IFG	2023		-		
{16}			MODESTO, H. S.; SANTOS, E. P.; GOMES, R. A.	IF+Empreendedor: Uso de serviços em nuvem para auxiliar empreendimentos afetados pela pandemia da COVID-19	I Fecin ? Feira integrada de ciências do IFG	2023		-		
{19}			PEREIRA, S. A. S.; JUNIOR SILVA, A. C.; MENDES, T. A.; JUNIOR GITIRANA, G. F. N.	Estudo da Relação entre Curvas Granulométricas e Curvas Características Solo-Água Utilizando Programação Computacional	1º Prêmio CREA-GO de Destaque Acadêmico - 2023	2023		-		
{16}			SANTOS, E. J. R.; GOMES, R. A.	Sustentabilidade em foco	I Fecin ? Feira integrada de ciências do IFG	2023		-		
{16}			SANTOS, E. J. R.; SILVA, W. M. O.; PINHEIRO, G. O.; GOMES, R. A.	Sustentabilidade em foco: relato preliminar de resultados	Semana da Educação, Ciência, Tecnologia e Cultura do Instituto Federal de Educação, Ciência e Tecnologia de Goiás	2023		-		
{19}			SANTOS, J. J. F.; GOUVEA, M. C. P. S.; MENDES, T. A.	Avaliação Técnica e Financeira de Wetland Construído com Entulho Reciclado para o Tratamento de Efluentes	1º Prêmio CREA-GO de Destaque Acadêmico - 2023	2023		-		
{22}		10.1109/la-cci48322.2021.9769790	DE CAMARGO, T. F. O.; DOS SANTOS, P. V.; PREMEBIDA, S. M.; RIBEIRO, G. A. S.; OLOMBRADA, M.; SOARES, V. R.; BARBOSA, R. M.; PACHECO, W. C.; ROCHA, C.; GONCALVES, C.; CORREA, F. C.; VAROTTO, V. H.; SCOCZYNSKI, M.	A practical Deep Learning approach to assist COVID-19 detection based on Chest X-ray images	2021 IEEE Latin American Conference on Computational Intelligence (LACCI)	2021		1-		
{14}			FERNANDES, J. E. S.; BELCHIOR, F. N.; DOMINGOS, J. L.	Desafios à inserçao sustentada da geração distribuída fotovoltaica no Brasil	Encontro Goiano de Estudos em Engenharia de Produção	2021	1	69-70		
{22}		10.56316/2596-2221.xixceel.2021.623	MAGALHAES, A. S.; DE PAULA, A. S.; GOMES, V. A.; CALIXTO, W. P.; BULHOES, J. S.	ANÁLISE DA ENGENHARIA DE TRÁFEGO PARA CALL CENTER	XIX Conferência de Estudos em Engenharia Elétrica	2021		-		
{22}		10.56316/2596-2221.xixceel.2021.624	MAGALHAES, A. S.; DE SOUZA, E. H.; PIRES, H. P. R.; PEREIRA, L. A. L.; CALIXTO, W. P.; BULHOES, J. S.	ESTUDO DOS ASPECTOS QUALITATIVOS E COMPARATIVOS DA IMPLEMENTAÇÃO DO CLUSTER OPENMOSIX ATRAVÉS DO BCCD E MOSIX	XIX Conferência de Estudos em Engenharia Elétrica	2021		-		
