ID_MEMBRO	RELEVANTE	DOI	AUTORES	TITULO	NOME EVENTO	ANO	VOLUME	NUMERO	PAGINAS	ITEM
{1}			CARMO, N. C.; NUNES, F. G.; SANTOS, A. M. D.	Anais do III Simpósio Integrado de Estudos Territoriais: Questões Territoriais em um Mundo Digitalizado:  Disputas e Perspectivas	III Simpósio Integrado de Estudos Territoriais	2023	3	1	64-69		
{19}			MENDES, T. A.; PEREIRA, S. A. S.; REBOLLEDO, J. F. R.; FORMIGA, K. T. M.	DEVELOPMENT OF EQUIPMENT AND SOFTWARE LOW COST FOR PROCESSES MONITORING EROSIVE IN THE FIELD	Escola Interdisciplinar FAPESP 2023, Ciências Exatas e Naturais, Engenharias e Medicina	2023			-		
{5}			PEREIRA, A. C.; CREMON, E. H.; SILVA, R. T.; RUBIN, J. C. R.	Unveiling the past: AI-driven prediction of archaeological sites in Serranópolis, Brazil	10th Developing International Geoarchaeology / GEGAL ? Grupo de Estudos Geoarqueológicos de América Latina (Group of Geoarchaeological Studies of Latin America)	2023			-16		
{1}			PEREIRA, L. B. F.; DOS SANTOS, A. M.	EDUCAÇÃO PARA O TRÂNSITO NO ENSINO BÁSICO: UMA REVISÃO DE LITERATURA	7ª FÓRUM GOIANO DE MOBILIDADE URBANA E TRÂNSITO (MUT) E 7° MOSTRA ACADÊMICA DE ENGENHARIA DE TRANSPORTE (MAET).	2023	7		-		
{1}			SANTOS, A. M. D.; AVILA, G. S. D.; FERREIRA, P. F. M.	EDUCAÇÃO PARA O TRÂNSITO POR MEIO DA EXTENSÃO UNIVERSITÁRIA,	7º Fórum Goiano de Mobilidade Urbana e Trânsito	2023	7	1	1-12		
{8}			SCHIMIDT, F.; MIYABARA, M. H.; PANCOTTI, A.; SANTIAGO, M. F.	Algumas aplicações de calibração multivariada com modelos de Machine Learning utilizando a biblioteca PyCaret	6a Escola de Inverno de Qumiometria	2023	unico		-		
{18}			AHMADI, S.; OJALA, S. A.; DE OLIVEIRA, S. B.	Photocatalytic removal of amoxicillin using BiOBrand Bi3O4Br catalysts	14º Encontro Brasileiro sobre Adsorção	2022	1		01-54		
{18}		10.51996/9786588492524	ALVES, A. C. F.; SCALIZE, P. S.; DE OLIVEIRA, S. B.	Synthesis and characterization of polymeric hydrochar and polymeric activated carbon applied to the adsorption of the bisphenol-A emerging contaminant.	14º Encontro Brasileiro sobre Adsorção	2022	1		01-54		
{16}			FERREIRA, V. B.; GOMES, R. A.	Proposal of a framework for planning energy-efficient smart spaces in Industry 4.0	VII Congresso Ibero-Americano de Empreendedorismo, Energia, Ambiente e Tecnologia (CIEEMAT)	2022			-		
{1}			SANTOS, E. P.; SANTOS, A. M. D.; VALADAO, M. B. X.	Geotecnologias na Rede: interação dialógica através de recursos audiovisuais	3° CONGRESSO DE EXTENSÃO (III CONEX)	2021	3	1	21-21		
{1}			SANTOS, B. R. I.; SANTOS, A. M. D.	Análise Espacial dos Acidentes em Rodovias Federais no Estado de Goiás no ano de 2019	I Encontro Nacional Virtual dos Estudantes de Engenharia de Transportes	2020	1	1	17-21		
{1}			ALVARES, A. P.; NASCIMENTO, E. L. C.; BARBOSA, E. S.; SANCHEZ, J. P.; CALDEIRA, P. J.; SANTOS, L. A.; SANTOS, A. M. D.	APRENDER FAZENDO: A ABORDAGEM GEOEDUCACIONAL NAS ESCOLAS UTILIZANDO EXPERIMENTOS INTERATIVOS DE SOLOS, MINERAIS E ROCHAS	IX Simpósio Nacional de Ensino e História de Ciências da Terra	2019	9		-		
