ID-MEMBRO	RELEVANTE	DOI	AUTORES	TITULO	REVISTA	PAGINAS	VOLUME	NUMERO	ANO	item	
{0}			LISBOA, G. P.; MOREAU, M. S.; GOMES, R. L.; LISBOA, G. S.; SILVA, V. A.; MAGALHAES, R. S.; FRANCA, L. C. J.; SANTOS, A. M. D.; HADDADFOI, H. C.	ENVIRONMENTAL FRAGILITY OF LAND SYSTEMS IN A HYDROGRAPHIC BASIN LOCATED IN THE SOUTH REGION OF THE STATE OF BAHIA, BRAZIL	Caminhos da Geografia (UFU. Online)	-			2023		
{12}			DOMBINOV, V.; HERZEL, H.; MEILLER, M.; MULLER, F.; WILLBOLD, S.; ZANG, J. W.; DA FONSECA-ZANG, W. A.; ADAM, C.; KLOSE, H.; POORTER, H.; JABLONOWSKI, N. D.; SCHREY, S. D.	'Sugarcane bagasse ash as fertilizer for soybeans: effects of biofuel additives on ash composition, mineralogy, phosphorus extractability and plant availability'	Frontiers in Plant Science	-			2022		
{1}			ALVES, A. J.; FURRIEL, G. P.; GODOI, F. F. F.; SILVA, J. R. S.; PROFETA, F. A.; DOMINGOS, J. L.; CALIXTO, W. P.	Method for mapping root growth and fertilizer influence using geoprospection process	Transactions on Environment and Electrical Engineering	-			2017		
{1, 11}			ALVES, A. J.; FURRIEL, G. P.; GODOI, F. F. F.; SILVA, J. R. S.; PROFETA, F. A.; OLIVEIRA, S. B.; CALIXTO, W. P.	Study of fertilizers and roots distribution in the soil using geoelectrical prospection	Transactions on Environment and Electrical Engineering	-			2017		
{1}			CALIXTO, W. P.; COIMBRA, A. C. P.; ALVES, A. J.; SILVA, C. L.; FILHO SILV, A. M.; OLIVEIRA, D. N.; NOBRE, F. S.; OLIVEIRA, M. A. A.	New Method and Apparatus for 3-D Mapping of Soil Electrical Conductivity	Transactions on Environment and Electrical Engineering	-			2017		
{1}			FILHO SILV, A. M.; SILVA, C. L. B.; OLIVEIRA, M. A. A.; PIRES, T. G.; ALVES, A. J.; NARCISO, M. G.; CALIXTO, W. P.	Geoelectric method applied in correlation between physical characteristics and electrical properties of the soil	Transactions on Environment and Electrical Engineering	-			2017		
{1}			FURRIEL, G. P.; ALVES, A. J.; GODOI, F. F. F.; SILVA, J. R. S.; PROFETA, F. A.; CALIXTO, W. P.	Method for correlating soil electrical resistance with fertilizers and isolating the effect of moisture	Transactions on Environment and Electrical Engineering	-			2017		
{1}			FURRIEL, G. P.; ALVES, A. J.; SILVA, B. C. R.; MATIAS, C. A.; CALIXTO, W. P.	Development, testing and validation of instrument to measure penetration resistance on soil	Transactions on Environment and Electrical Engineering	-			2017		
{1}			MATIAS, C. A.; SANTOS, L. M.; CALIXTO, W. P.; ALVES, A. J.; DOMINGOS, J. L.	Increasing photovoltaic panel power through water cooling technique	Transactions on Environment and Electrical Engineering	-			2017		
{1}			MORAES, P. H. F.; ALVES, A. J.; MAGALHAES, A. S.; CALIXTO, W. P.	Synchronous versus Capacitive Compensation in Systems with Harmonic Distortion	Transactions on Environment and Electrical Engineering	-			2017		
