ID_MEMBRO	RELEVANTE	AUTORES	TITULO	ANO	NATUREZA	ITEM
{12, 21}		DE SOUZA, G. A.; DA FONSECA-ZANG, W. A.; LEANDRO, W. M.; JR, A. F. L.; DA SILVA, S. V.; ZANG, J. W.	Environmental and economic viability study for the implementation of biogas production in the state wholesale of fruits and vegetables CEASA-GO in the central Brazilian Capital Goiânia.	2017	University Bonn, Germany. (Congresso internacional)		
{21}		DA SILVA, S. V.; FONSECA-ZANG, W. A.; CAPORALE, J.	BREAKING BOUNDARIES: TECHNOLOGY IN FAVOR OF LANGUAGE LEARNING, CULTURAL EXCHANGES AND CONSTRUCTION OF FRIENDSHIP TIES	2016	V Jornadas Internacionales de Investigación y Prácticas en Didáctica de las Lenguas y las Literatura. (Pagina de internet)		
{21}		SANTOS, L. F.; ZANG, J. W.; DA FONSECA-ZANG, W. A.; LEANDRO, W. M.; DE FREITAS, R. A.	Mitigation of emissions from sugar cane crop by anaerobic digestion of sugarcane wastes	2016	Embrapa. (Pagina de internet)		
{12}		ZANG, J. W.; DA FONSECA-ZANG, W. A.	No Waste - IFG, Brasil e Alemanha: novas parcerias em Biotecnologia	2016	Centro Alemao de Ciencia e Inovação. (Website)		
{12}		ZANG, J. W.; DA FONSECA-ZANG, W. A.; OLIVEIRA, S. B.	Sustainable use of byproducts of Brazilian sugar cane based ethanol industry	2014	University of Oulu. (Website)		
{21}		DA SILVA, S. V.; FIGUEIREDO, F. J. Q.; FONSECA-ZANG, W. A.	?Teletandem language learning in a technological context of education: interactions between Brazilian and German students?	2013	INFLIT. (Pagina de internet)		
{12}		DE ALMEIDA, S.; OLIVEIRA, C. B. A.; FONSECA-ZANG, W.; TEIXEIRA, L. S. M.; ZANG, J. W.	Desenvolvimento de Metodologias para determinação de Mercúrio (Hg) em insumos agrícolas orgânicos	2013	ABQ Química. (Website)		
{21}		DE ALMEIDA, S.; OLIVEIRA, C. B. A.; TEIXEIRA, L. S. M.; FONSECA-ZANG, W. A.; ZANG, J. W.	Desenvolvimento de metodologias para determinar contaminantes em insumos agrícolas orgânicos	2013	ABQ Química. (Pagina de internet)		
{21}		FONSECA, R. C.; FONSECA-ZANG, W. A.; ZANG, J. W.; FIGUEIREDO, A.; CASTRO, M. T.	Time Homogeneous Ornstein-Uhlenbeck model behavior using empirical sustainable data	2013	XXXVI Encontro Nacional de Física da Matéria Condensada/ID:716-1. (Pagina de internet)		
{12, 21}		OLIVEIRA, C. B. A.; FONSECA-ZANG, W.; ZANG, J. W.; DE ALMEIDA, S.; TEIXEIRA, L. S. M.; LEANDRO, W. M.	Determinação e Quantificação de mercúrio em Composto de lixo	2013	SBCS. (Pagina de internet)		
{18, 12, 21}		VEIGA, E. M. A.; SACK, S.; DE OLIVEIRA, S. B.; ZANG, J. W.; FONSECA-ZANG, W. A.; LEANDRO, W. M.	BIOCHAR OBTIDO NA CARBONIZAÇÃO HIDROTERMAL DE TORTA DE FILTRO DO SETOR SUCROALCOOLEIRO NA PRODUTIVIDADE DA ALFACE LISA EM SISTEMA DE CULTIVO ORGÂNICO	2013	Epagri e SBCS. (Divulgação digital)		
