ID_MEMBRO	RELEVANTE	REGISTRO	AUTORES	TITULO	ANO	ITEM
{16}	None	BR512023003370-7	GOMES, R. A.; LOBO, G. V. G.; MARTINS, N. S.	Sysperf	2023		
{4}	None	BR512023000972-5	DE JESUS, A. X. C.; NETO D; DOMINGUES, E. G.	SolarEnergy - Análise de viabilidade técnica e econômica de microgeração fotovoltaica conectada à rede (até 75 kWp).	2022		
{16}	None	BR512022002336-9	GOMES, R. A.; RIBEIRO, F. D.	Consumo Planner	2022		
{16}	None	BR512022002335-0	NETO PINHEI, D.; GOMES, R. A.; MAIA, J. A.	PiezoAnalysis	2022		
{16}	None	512021002104-5	GOMES, R. A.; RODRIGUES, G. S. C. V.; LOBO, G. V. G.; SANTOS, J. A.	Virtual Machine Search	2021		
{4}	None	BR512022002335-0	MAIA, J. A.; NETO PINHEI, D.	PiezoAnalysis - Ferramenta para análise de viabilidade técnica e econômica de microusinas piezoelétricas em centros urbanos com grande circulação de pedestres	2021		
{4}	None	BR512021003256-0	STACH, A. H. M.; DOMINGUES, E. G.; NETO D	EcoViability 2 - Viabilidade técnica, econômica e ambiental da implantação de sistema híbrido de geração de energia elétrica Biogás-Solar Fotovoltaica	2021		
{4}	None	BR512021003257-8	STACH, A. H. M.; NETO D; DOMINGUES, E. G.	PVRisk - Análise de Risco da Implantação de Sistemas Fotovoltaicos Conectados à Rede diante do Sistema de Compensação de Energia Elétrica	2021		
{4}	None	BR512021003253-5	VIDAL, M. A.; STACH, A. H. M.; NETO D; DOMINGUES, E. G.	EcoViability 1 - Cálculo da Viabilidade Econômica e das Emissões Reduzidas da Implantação de Ações de Eficiência Energética e de Minigeração Fotovoltaica	2021		
{22}	None	512019002004-9	CALIXTO, W. P.; REIS, M. R.; CARARO, J. A. G.; SILVA, D. A. P.; GOMES, F. A.; GOMES, V. M.; SANTOS, P. V.; NETO CAETA, J.; JUNIOR VILELA, W. A.; NIELSON, R.	QUALITAS V2	2019		
{16}	None	BR512019000035-8	GOMES, R. A.; COSTA, F. M.; ROCHA, R. C. A.	CHORVM - CHOReography deployment Virtual Machine	2019		
{22}	None	BR512019001909-1	JUNIOR MELO, G.; CALIXTO, W. P.; VIEIRA, S. L.; SILVA, B. C. R.	CoMaSoAp	2019		
{4}	None	BR512018051579-7	PINTO, L. S.; NETO D; DOMINGUES, E. G.	Software para análise de risco de investimentos do biogás proveniente da vinhaça de agroindústrias sucroenergéticas para a geração de energia elétrica	2018		
{22}	None	BR5120170007837	GOMES, V. M.; RODRIGUES, M. M.; GOMES, D. A.; FARIA, K. A. C.; MACEDO, C. J. A.; CAMPOS, P. H. M.; SOUZA, R. R.; CALIXTO, W. P.	SGI	2017		
{22}	None	BR5120170007799	JUNIOR VILELA, W. A.; RODRIGUES, B. U.; SILVA, D. C.; NETO CAETA, J.; JUNIOR FREITAS, J. L.; SILVA, L. F. A.; SANTOS, P. V.; NIELSON, R.; CALIXTO, W. P.	QUALITAS	2017		
{22}	None	BR5120170007853	SILVA, A. H. F.; MAGALHAES, A. S.; COUTO, M. S. D. S.; CALIXTO, W. P.	SICAPROC	2017		
{22}	None	BR5120170007829	SILVA, U. F.; LEMOS, S.; SILVA, A. H. F.; CALIXTO, W. P.	CALC SURGE SWAB	2017		
{22}	None	BR5120160000449	SILVA, A. H. F.; CALIXTO, W. P.; MAGALHAES, A. S.	CODITRAC	2016		
