ID_MEMBRO	RELEVANTE	AUTORES	TITULO	ANO	NATUREZA	ITEM	TEMA	EMISSORA
{14}		DOMINGOS, J. L.	BANDEIRANTES ACONTECE	2023	ENTREVISTA		Goiás é destaque na produção de energia solar e caminha para ser referência	#Bandeirantes	
{14}		DOMINGOS, J.; TAVEIRA, T.; MATIAS, C. A.	PodCast VídeoCast Política no Plural	2023	PROGRAMA		Luz pro Futuro	PodCast Políticas no Plural	
{16}		GOMES, R. A.; FRANCO, T.; ESTEVES, S.	Matutando pela Ciência	2023	PROGRAMA		COMPUTAÇÃO EM NUVEM E COREOGRAFIAS DE SERVIÇOS	TV UFG	
{19}		MENDES, M. V. A. S.; MENDES, T. A.; ARAUJO, A. G.; FORMIGA, K. T. M.; SOUSA, J. C. C.; TEIXEIRA, A. P.	Grupo de Trabalho de Drenagem Urbana - Integrantes realizam visita a pontos críticos da capital	2023	COMENTARIO		Drenagem Urbana	Site do Crea - GO	
{19}		MENDES, T. A.; CORTES, J. B.; REIS, E. C.; MILOGRANA, J.	Pesquisadores do Câmpus Goiânia auxiliam UFG em estudos para elaboração de plano de drenagem urbana da Capital	2023	OUTRA		Cooperação	Site do IFG	
{19}		MENDES, T. A.; FORMIGA, K. T. M.; ARAUJO, A. G.; SANTOS, K. A.	Drenagem Urbana - UFG conduz estudos técnicos para atualização do Plano Diretor - Programa MUNDO UFG	2023	ENTREVISTA		Plano Diretor de Drenagem Urbana de Goiânia	TV e Internet	
{19}		MENDES, T. A.; PEREIRA, S. A. S.	Revistas internacionais na área de Engenharia publicam artigos de professor e ex-aluno do IFG	2023	COMENTARIO		Educação	Site do CONIF	
{19}		MENDES, T.; ARAUJO, A. G.; FORMIGA, K. T. M.; NUNES, E. D.	Grupo de trabalho sobre drenagem urbana discute ações para serem realizadas antes e durante novo período de chuvas em Goiás	2023	COMENTARIO		Drenagem Urbana	Site do Crea - GO	
{19}		MENDES, T.; PEREIRA, S. A. S.; GITIRANA, G. F. N.; REBOLLEDO, J. F. R.	Revistas internacionais na área de Engenharia publicam artigos assinados por professor e ex-aluno de Engenharia Civil do IFG Aparecida	2023	COMENTARIO		Pesquisa - Publicação de Artigos Científicos	Site do IFG	
{4}		NETO D	Vamos falar de energia renovável	2023	ENTREVISTA		Fazenda solar	Spotify - Podcast Nosso Goiás	
{19}		PEREIRA, S. A. S.; JUNIOR SILVA, A. C.; MENDES, T. A.; GITIRANA, G. F. N.	Reunião colegiada elegeu o próximo diretor financeiro da Mútua-GO e premiou vencedores do Mérito Acadêmico	2023	COMENTARIO		Reunião colegiada elegeu o próximo diretor financeiro da Mútua-GO e premiou vencedores do Mérito Acadêmico	Internet	
{19}		PEREIRA, S. A. S.; MENDES, T. A.; JUNIOR SILVA, A. C.; GITIRANA, G. F. N.	Ex-alunos e professores do curso de Engenharia Civil do IFG Aparecida recebem o Prêmio Crea de Destaque Acadêmico	2023	COMENTARIO		PRÊMIO	Site do IFG	
{5}		CREMON, E. H.; NETO SOAR, G. B.; NUNES, E. D.	Qualidade dos Modelos Digitais de Elevação no Cerrado: Bases de dados e Boas Práticas de Aplicação	2022	MESA_REDONDA		Qualidade de MDEs	Youtube	
{14}		DOMINGOS, J. L.; FARIA, A. F.; PINTO, L. S.; NICHIDA, C.; JUNIOR SILVEIRA, C. R.	Projetos inspiram jovens na produção de energia limpa e no combate ao desperdício	2022	ENTREVISTA		Eficiência Energia e Pesquisa e Desenvolvimento	Sagres	
{7}		SANTOS, W. B.; ALVES, L. P.; ANDRADE, F. M. S. M.; SA, F. P.	I Workshop do Escritório de Estímulo às Incubações: Inovação e Transformação	2021	MESA_REDONDA		Escritório de Estímulo às Incubações (EEIN-IFG)	Redes Sociais do IFG	
{5}		CREMON, E.	Modelos Digitais de Elevação na Geomorfologia além do SRTM	2020	ENTREVISTA		Metodologias e Técnicas Aplicadas a Geomorfologia	YouTube	
{5}		MERINO, E. R.; CREMON, E. H.	Geomorfologia fluvial de grandes rios: formas e processos analisados por sensoriamento remoto	2020	MESA_REDONDA			YouTube	
{18}		OLIVEIRA, S. B.	Projeto Pneuma	2020	ENTREVISTA		Projeto Pneuma	programa Mundo UFG - Tv UFG	
{18}		PPERILO, L. P.; NORONHA, E.; MACEDO, S. O.; DE OLIVEIRA, S. B.; MENDONCA, J.	Inovação, Tecnologia e Empreendedorismo Social: desafios e oportunidades	2019	MESA_REDONDA		EncontroPedagógico2019/2	https://www.ifg.edu.br/attachments/article/14202/Memo_50_2019_Convoca%C3%A7ao%20Encontro%20Pedagogica%202019-2.pdf	
{2}		ALVES, A. J.	Primeira arvore solar inaugurada em Goiânia	2018	ENTREVISTA		Primeira arvore solar inaugurada em Goiânia	O Popular	
{2}		ALVES, A. J.	Eficiência energética em instalações residenciais	2018	ENTREVISTA		Eficiência Energética	TV Record Goiânia	
{21}		DA FONSECA-ZANG, W. A.	Palestra abertura no Seminario de IC IFG 16 de maio de 2017: 'Desenvolvimento Sustentável Regional: Contribuição do Turismo'	2017	MESA_REDONDA		quot;Desenvolvimento Sustentável Regional: Contribuição do Turismoquot;	https://www.ifg.edu.br/ultimas-noticias-campus-goiania/2880-abertura-7-slict-pesquisa-estudantil	
{22}		CALIXTO, W. P.	Pesquisa e Inovação Tecnológica: caminhos para obtenção de recursos na pesquisa	2016	MESA_REDONDA		Pesquisa e Inovação	Presencial	
{21}		DA FONSECA-ZANG, W. A.; BIZERRA, N.	Conexão Ambiental _radio Brasil Central, FM, AM, outros sistemas de difusão	2016	PROGRAMA		Saneamento Básico: Políticas e Tecnologias Para a Saúde.	Internet/facebook e IFG site	
{2}		ALVES, A. J.	Sobre todas as coisas	2014	PROGRAMA		Loucos por tecnologia	Tv Brasil Central canal 13	
{2}		ALVES, A. J.	Energia Solar: solução sustentável e econômica para os consumidores	2014	PROGRAMA		Energia solar	Programa: Opinião em Debate (TV Brasil Central/Cultura - Canal 13 Goiânia)	
