ANO	RELEVANTE	AUTORES	TITULO	REGISTRO	DATA_PEDIDO	DATA_CONCESSAO
2021	None	SA, F. P.; BORGES, E. C. L.	Processo de Obtenção de Biocomposto de Resíduos Alimentares e Biocomposto com Características de Poder de Combustão	BR1020210244496	03122021		
2021	None	SA, F. P.; BORGES, E. C. L.; KURAMOTO, L. L.; VIEIRA, L. L.; SILVA, M. A. L. A.	Biocombustível Sólido de Biomassa Oriunda de Biodigestão Aeróbia e Respectivo Processo de Produção	BR10202102682	30122021		
2019	None	CALIXTO, W.; FURRIEL, G. P.; SILVA, B. C. R.; MENDES, W. B. S. V.; AGUIAR, T. C.; REIS, M. R. C.; ARAUJO, W. R. H.	Sistema interpretador de movimentos corporais	BR1020190079088	17042019		
2019	None	CALIXTO, W.; MARTINS, D. W. P.; MARTINS, D. W. P.; GOMES, V. M.	Dispositivo e processo de fotomedição em vários níveis para análise de partículas em sedimentação	BR10201900886556	29042019		
2018	None	MATIAS, C. A.; SANTOS, L. M.; BARROS, D. N.; ALVES, A. J.; CALIXTO, W. P.	Bancada de simulação solar com distribuição uniforme de irradiância para testes de eficiência energética em painéis fotovoltaicos	BR10201800450	07032018		
2017	None	CALIXTO, W. P.; FURRIEL, G. P.	Equipamento e processo de aplicação de produtos fitossanitários com exposição total da folha ao jato aplicador	BR1020190042745	31032017	29062023	
2017	None	CALIXTO, W. P.; FURRIEL, G. P.; SILVA, J. G.; NARCISO, M. G.; COLOMBO, L. H.	Técnica de derriça seletiva de grãos/frutos utilizando vibração/movimentação induzida sem contato com a planta	PI1020170067173	31032017		
2016	None	GOMES, P. H. G.; CALIXTO, W. P.; ALVES, A. J.	Aparelho e processo para recuperação de energia térmica em dutos com camada de ar resistiva e superfície de captação com gradiente nulo	BR1020160103045	06052016	08112022	
2016	None	KLAFKE, M.; CALIXTO, W. P.; FILHO OLIVEIR, R. M.; ALVES, A. J.	Dispositivo eletrônico portátil de medição de tempo de reação com sistema embarcado e processo de determinação de escala evolutiva de reabilitação neuromotora	BR1020160012686	20012016		
2015	None	FURRIEL, G. P.; CALIXTO, W. P.; ALVES, A. J.	Aparelho automático e processo para medição da compactação do solo baseado no cálculo do índice do cone	BR1020150136048	10062015	05042022	
2014	None	FONSECA-ZANG, W.; ZANG, J. W.; COLTRO, M. C. R. C.; SOUSA, D. C. S.; OLIVEIRA, S. B.	Processo de síntese de nanopartículas de magnetita com uso de ultrassom.	BR102014009360	15042014	10082021	
2013	None	ZANG, J.; FONSECA-ZANG, W. A.; SANTIAGO, M. F.; MORAIS, R. L.; REIS, S.	PROCESSO DE CARBONIZAÇÃO HIDROTERMAL APLICADO NA REMOÇÃO DE HORMÔNIOS SEXUAIS SINTÉTICOS	BR102013032254	06122013	15062021	
