ID_MEMBRO	RELEVANTE	AUTORES	TITULO	ANO	NATUREZA	ITEM
{19}	None	JUNIOR MERABET, J. C. F.; MENDES, T. A.; CORTES, H. A.; MASCARENHA, M. M. A.; DA LUZ, M. P.; SALES, M. M.	INSTRUÇÃO DE TRABALHO - QA ENSAIOS DE ERODIBILIDADE COM O SIMULADOR DE CHUVAS (PREPARAÇÃO DE AMOSTRAS)	2023			
{19}	None	JUNIOR MERABET, J. C. F.; MENDES, T. A.; CORTES, H. A.; MASCARENHA, M. M. A.; LUZ, M. P.; SALES, M. M.	INSTRUÇÃO DE TRABALHO ? QA ENSAIOS DE ERODIBILIDADE COM O SIMULADOR DE CHUVAS (ENSAIO DE ERODIBILIDADE - SOLO SEM COBERTURA)	2023			
{19}	None	MERABET, J. J. C. F.; MENDES, T. A.; CORTES, H. A.; MASCARENHA, M. M. A.; LUZ, M. P.; SALES, M. M.	INSTRUÇÃO DE TRABALHO ? QA ENSAIOS DE ERODIBILIDADE COM O SIMULADOR DE CHUVAS (OPERAÇÃO E VERIFICAÇÃO DE CHUVAS SIMULADAS)	2023			
{12}	None	ZANG, J. W.; DA FONSECA-ZANG, W. A.; SACHO, S. D.; AZEVEDO, H.; CAMPOS, L. C.; LEANDRO, W. M.	Sistema de agitação manual num digestor de biogás de cúpula flutuante.	2021			
{12}	None	ZANG, J. W.; FONSECA-ZANG, W. A.; SACHO, S. D.; AZEVEDO, H. L. S.; CAMPOS, L. C.; LEANDRO, W. M.	Biodigestores para agricultura familiar	2021			
{15}	None	OLIVEIRA, L. N.	Avaliador MEC/INEP para cursos de Física	2018			
{2}	None	MATIAS, C. A.; ALVES, A. J.	Placa de circuito impresso para medição de tensão e corrente contínua em processos de supervisão	2017			
{2}	None	MATIAS, C. A.; ALVES, A. J.	MÓdulo de controle PID para temperatura.	2017			
{18}	None	OLIVEIRA, S. B.; B, F. K.; OLIVEIRA, S. R.	PROJETO DA ETE BELL CORPUS COSMÉTICOS	2014			
{12}	None	DE OLIVEIRA, S. B.; ZANG, J. W.; SACK, S.; FONSECA-ZANG, W.	Reator de Carbonização Hidrotermal de escala piloto	2013			
{12}	None	ZANG, J. W.; DE OLIVEIRA, S. B.	Sistema de Biogas de bancada	2013			
{12}	None	ZANG, J. W.; DE OLIVEIRA, S. B.; REIS, S.; FONSECA-ZANG, W.	Reator de Carbonização Hidrotermal 250 mL	2013			
{18}	None	OLIVEIRA, S. B.; COSTA, O. S.	Memorial da Unidade Industrial Ceramikalys ? Preparação de Solução de Soda Cáustica	2012			
