ID-MEMBRO	RELEVANTE	AUTORES	TITULO	ANO	NATUREZA	ITEM
{19}		MENDES, T. A.; ABREU, G. R. O.; FORMIGA, K. T. M.	DESENVOLVIMENTO DE APP PARA O MONITORAMENTO DE PONTOS DE ALAGAMENTOS E EROSÕES PARA O PLANO DIRETOR DE DRENAGEM URBANA DE GOIÂNIA ? PDDU-GYN: DOCUMENTAÇÃO E MANUAL DE INSTRUÇÕES	2024			
{19}		MENDES, T. A.; FORMIGA, K. T. M.; MILOGRANA, J.; FERREIRA, N. C.	RELATÓRIO PRELIMINAR ? BACIA HIDROGRÁFICA DO CÓRREGO CASCAVEL	2024			
{19}		MENDES, T. A.; MILOGRANA, J.; FERREIRA, N. C.; FORMIGA, K. T. M.	RELATÓRIO PRELIMINAR ? BACIA HIDROGRÁFICA DO CÓRREGO TAQUARAL	2024			
{19}		MENDES, T. A.; MILOGRANA, J.; FORMIGA, K. T. M.; FERREIRA, N. C.	RELATÓRIO PRELIMINAR ? BACIA HIDROGRÁFICA DO CÓRREGO MACAMBIRA	2024			
{19}		MENDES, T.; FERREIRA, N. C.; FORMIGA, K. T. M.	RELATÓRIO PRELIMINAR - METODOLOGIA GERAL EMPREGADA	2024			
{19}		MENDES, T.; MILOGRANA, J.; FERREIRA, N. C.; SANTOS, K. A.; FORMIGA, K. T. M.	RELATÓRIO PRELIMINAR ? BACIA HIDROGRÁFICA DO BAIXO ANICUNS (BOTAFOGO)	2024			
{5}		CREMON, E. H.	Parecer para a Journal of South American Earth Sciences	2023			
{16}		GOMES, R. A.	Parecerista no processo seletivo de projetos de ensino 2022 do Câmpus Goiânia do IFG	2023			
{16}		GOMES, R. A.	Avaliador do artigo #229891 submetido em Encontro Nacional de Computação dos Institutos Federais	2023			
{16}		GOMES, R. A.	Avaliador do artigo #1570958085 submetido no Seventh International Symposium on Intelligent Systems Technologies and Applications (ISTA?23)	2023			
{16}		GOMES, R. A.	Avaliador do artigo #1570962524 submetido no Seventh International Symposium on Intelligent Systems Technologies and Applications (ISTA?23)	2023			
{16}		GOMES, R. A.	Avaliador do artigo #1570962709 submetido no Seventh International Symposium on Intelligent Systems Technologies and Applications (ISTA?23)	2023			
{16}		GOMES, R. A.	Avaliador de artigo FGCS-D-23-02991 em Future Generation Computer Systems	2023			
{19}		MENDES, T. A.	Mentor de Inovação - Secretaria de Estado de Ciência, Tecnologia e Inovação (SECIT GO)	2023			
{19}		MENDES, T. A.; REBOLLEDO, J. F. R.; FORMIGA, K. T. M.	MANUAL DE OPERAÇÃO - DISPOSITIVO OSC - EQUIPAMENTO PARA MONITORAMENTO DE EROSÕES	2023			
{5}		CREMON, E. H.	Revisão para o Journal of South American Earth Sciences	2022			
{5}		CREMON, E. H.	Parecer para a revista Environmental Processes	2022			
{16}		GOMES, R. A.	Avaliador do artigo #13 submetido em 22nd IEEE International Conference on Environment and Electrical Engineering	2022			
{16}		GOMES, R. A.	Avaliador do artigo #165 submetido em 22nd IEEE International Conference on Environment and Electrical Engineering	2022			
{16}		GOMES, R. A.	Membro de comitê de programa em Fifth International Conference on Applied Informatics (ICAI 2022)	2022			
{16}		GOMES, R. A.	Membro de comitê de programa em 9º Encontro Nacional de Computação dos Institutos Federais	2022			
{16}		GOMES, R. A.	Avaliador do artigo #222962 submetido em 9º Encontro Nacional de Computação dos Institutos Federais	2022			
{16}		GOMES, R. A.	Avaliador do artigo #223027 submetido em 9º Encontro Nacional de Computação dos Institutos Federais	2022			
{16}		GOMES, R. A.	Avaliador do artigo #38842 submetido na Revista Docência no Ensino Superior	2022			
{16}		GOMES, R. A.	Avaliador do artigo #201 submetido em 22nd IEEE International Conference on Environment and Electrical Engineering	2022			
{16}		GOMES, R. A.	Avaliador do artigo #202 submetido em 22nd IEEE International Conference on Environment and Electrical Engineering	2022			
{16}		GOMES, R. A.	Avaliador do artigo #203 submetido em 22nd IEEE International Conference on Environment and Electrical Engineering	2022			
{16}		GOMES, R. A.	Avaliador do artigo #39 em International Conference on Advanced Research in Technologies, Information, Innovation and Sustainability	2022			
{16}		GOMES, R. A.	Avaliador do artigo #104 em International Conference on Advanced Research in Technologies, Information, Innovation and Sustainability	2022			
{16}		GOMES, R. A.	Avaliador do artigo #1342 em Fifth International Conference on Applied Informatics	2022			
