ID_MEMBRO	RELEVANTE	AUTORES	TITULO	ANO	NATUREZA	ITEM	NIVEL	INSTITUICAO_PROMOTORA
{16}		GOMES, R. A.	Cidades Inteligentes e Sustentáveis: Ferramentas e Desafios	2023			EXTENSAO	Pontifícia Universidade Católica de Goiás	
{17}		RANGEL, C. S.; FARIA, A. R.; BARBOSA, M. P.; DA FONSECA, R. C. B.	Explorando fenômenos periódicos em parques de diversões	2023			OUTRA	Instituto Federal de Goiás	
{1}		SANTOS, A. M. D.	ENSINO DE GEOGRAFIA E CIÊNCIAS DA NATUREZA MEDIADO POR GEOTECNOLOGIAS: PRÁTICAS PEDAGÓGICAS	2023			EXTENSAO	UNIVERSIDADE FEDERAL DO SUL DA BAHIA	
{13}		SANTOS, L. M.; GOMES, F.; SANTOS, J. R. C.	Boas práticas em Laboratório de Química	2023			APERFEICOAMENTO	Instituto Federal de Educação, Ciência e Tecnologia de Goias - Câmpus Goiânia	
{18}		OLIVEIRA, S.; BARBOSA, D. P.	TECNOLOGIAS DE TRATAMENTO FÍSICO-QUÍMICO DE ÁGUAS	2022			APERFEICOAMENTO	Associação Brasileira de Química - Regional Goiás	
{18}		OLIVEIRA, S.; BARBOSA, D. P.	MÉTODOS DE TRATAMENTO FÍSICO-QUÍMICOS E BIOLÓGICOS E EFLUENTES EM INDÚSTRIAS ALIMENTÍCIAS	2022			APERFEICOAMENTO	Associação Brasileira de Química - Regional Goiás	
{16}		GOMES, R. A.	Introdução ao LaTeX usando a classe-ifg	2021			EXTENSAO	Instituto Federal de Educação, Ciência e Tecnologia de Goiás	
{12}		BELT, C.; ZANG, J. W.; DA FONSECA-ZANG, W. A.	Curso gratuito online sobre a tecnologia de Biogás da MeLe-Akademie/Alemanha em cooperação com o CVT Apinajé/Goiânia-GO e o Biopark/Toledo-PR	2020			APERFEICOAMENTO	MeLe Akademie, CVT Apinjé/Goiânia, GO, Biopark/PR	
{16}		GOMES, R. A.	Inteligência Artificial na Nuvem da AWS	2020			APERFEICOAMENTO	Instituto Federal de Educação, Ciência e Tecnologia de Goiás	
{16}		GOMES, R. A.	Primeiros Passos na Nuvem	2018			APERFEICOAMENTO	Instituto Federal de Educação, Ciência e Tecnologia Goiano	
{1}		SANTOS, A. M. D.	Elaboração de modelos e análise de rede em sistemas de informação geográfica	2018			EXTENSAO	Laboratório de Processamento de Imagem e Geoprocessamento	
{18}		OLIVEIRA, S. B.	MÉTODOS DE TRATAMENTO FÍSICO-QUÍMICOS E BIOLÓGICOS DE EFLUENTES NA INDÚSTRIA DE COSMÉTICOS	2017			EXTENSAO	SINDQUÍMICA	
{18}		OLIVEIRA, S. B.	Água e suas tecnologias	2017			OUTRA	Associação Basileira de Química	
{22}		CALIXTO, W. P.	Escrita de artigos científicos de alto impacto: estrutura e linguagem	2015			EXTENSAO	Universidade Federal de Goiás	
{18}		OLIVEIRA, S. B.	Química de explosivos	2013			OUTRA	Polícia Militar do Estado de Goiás	
{18}		DE OLIVEIRA, S. B.; COSTA, O. S.	Métdos de Tratamento Físico Químico de Águas Industriais	2012			EXTENSAO	Associação Brasileira de Química - Regional Goiás e Brasal Refrigerantes	
