ID_MEMBRO	RELEVANTE	AUTORES	TITULO	ANO	NATUREZA	ITEM	INSTITUICAO_PROMOTORA
{11}		PRAUCHNER, M. J.; PEREIRA, R. F. P. M.; DE OLIVEIRA, S. B.	14º Encontro Brasileiro sobre Adsorção	2022	NAO_INFORMADO		Sociedade Brasileira de Adsorção	
{12}		ZANG, J. W.; DA FONSECA-ZANG, W. A.; NIKOLAUSZ, M.	CarboxAid project Workshop, event, Goiânia, GO Brazil 22/ a 27/09/2022.	2022	ORGANIZACAO		IFG site: https://ifg.edu.br/component/content/article/161-ifg/campus/goiania/noticias-campus-goiania/31496-visita-pesquisadores-carboxaid	
{9}		GOMES, R. A.	IX Escola Regional de Informática de Goiás	2021	ORGANIZACAO		Universidade Federal de Goiás	
{0}		CAMPOS, C. I.; SANTOS, A. M. D.; GRIJO, T. M.; ZULUAGA, R. A. G.; CARVALHO, W. L.; SOUZA, I. A. M.	I ENCONTRO NACIONAL VIRTUAL DOS ESTUDANTES DE ENGENHARIA DE TRANSPORTES - ENETRANSP	2020	NAO_INFORMADO		UNIVERSIDADE FEDERAL DE GOIÁS	
{6}		DA FONSECA-ZANG, W.; CAMPOS, L. C.; ZANG, J. W.	Sistema Integrado de Água-Resíduos-Energia-Alimento WWEF-Nexus - Internacionalização da Pesquisa	2020	ORGANIZACAO		Instituto Federal de Goiás	
{12}		CAMPOS, L. C.; FONSECA-ZANG, W. A.; ZANG, J. W.	Seminario Internacional quot;Workshop Internacional ?Water-Waste-Energy-Food (WWEF) Nexus in Brazilquot;	2019	NAO_INFORMADO		UCL - University College London	
{11}		DE OLIVEIRA, S. B.	SISTEMAS DE PRODUÇÃO DE BIOGÁS DE BIODIGESTORES: DETERMINAÇÃO DE POTENCIAL DE PRODUÇÃO DE BIOGÁS/BIOMETANO	2019	ORGANIZACAO		Instituto Federal de Educação, Ciência e Tecnologia de Goiás	
{11}		DE OLIVEIRA, S. B.; FARIA, H. G. M.	SÍNTESE E CARACTERIZAÇÃO DE CARVÃO MESOPOROSO POLIMÉRICO SUPER BÁSICO VIACARBONIZAÇÃO HIDROTERMAL, APLICADOS NA REAÇÃO DE CICLOADIÇÃO DE EPÓXIDO CO2	2019	ORGANIZACAO		Instituto Federal de Educação, Ciência e Tecnologia de Goiás	
{11}		OLIVEIRA, S. B.; SOUSA, G. A.; FARIA, H. G. M.	SISTEMAS DE PRODUÇÃO DE BIOGÁS DE BIODIGESTORES: DETERMINAÇÃO DE POTENCIAL DE PRODUÇÃO DE BIOGÁS/BIOMETANO?	2019	ORGANIZACAO		Prefeitura de Goiânia	
{4}		SA, F. P.	Olimpíada Brasileira de Física das Escolas Públicas	2019	ORGANIZACAO		Sociedade Brasileira de Física	
{0}		SANTOS, A. M. D.; ROMACHELI, A. A.; HALL, B. R.; MOTA, C. S. D.; JUNIOR SANTOS, C. M.; JUNIOR RORIZ, M. P.	6° Fórum Goiano de Mobilidade Urbana e Trânsito	2019	NAO_INFORMADO		Universidade Estadual de Goiás	
{10}		ZANG, J. W.; DA FONSECA, R. C.; LEANDRO, W. M.; ZANG, W. A. F.; SOUSA, G. A.; SILVA, S. V.; BADAN, M. A.	Workshop WWEF-NEXUS e 7º Encontro Brasil-Alemanha para Produção Sustentável no Cerrado	2019	ORGANIZACAO		IFG Campus Goiânia, Escola de Agronomia UFG, Universidade de Ciencias Aplicadas de Aachen - FH Aachen, University College London UCL	
{6}		ZANG, J. W.; DA FONSECA-ZANG, W. A.	7º Encontro Brasileiro ? Alemão para a Produção Sustentável no Cerrado: Biogás	2019	ORGANIZACAO		Instituto Federal de Goiás	
{10}		BELISARIO, H. L. S.; FILHO CARDOS, J. L.; VASCONCELOS, J. E. S.; ARAUJO, M. G.; FONSECA, R. C. B.; SOUZA, U. B.; BARRETO, W. P.	V Colóquio De Matemática da Região Centro Oeste. Financiamento: SBM, CAPES e FAPEG.	2018	ORGANIZACAO		Sociedade Brasileira de Matemática. Financiamento: SBM, CAPES e FAPEG.	
{0}		DOS SANTOS, A. M.	XV Mostra de Extensão e Cultura e Alunos PROVEC	2018	ORGANIZACAO		Universidade Federal de Goiás	
{11}		OLIVEIRA, S. B.	3a Semana de Educação, Ciência, Tecnologia e Cultura do IFG - Campus Goiânia	2018	ORGANIZACAO		Instituto Federal de Educação, Ciência e Tecnologia de Goiás	
{4}		SA, F. P.	VI OLINFEG - Olimpíadas do Instituto Federal no IFG - Câmpus Inhumas	2018	ORGANIZACAO		Instituto Federal de Educação, Ciência e Tecnologia de Goiás	
{10}		DA FONSECA, R. C. B.; DOMINGOS, J. L.; SANTOS, N. P.; SOUZA, T. G.; MESSIAS, F.	VII Seminário Local de Iniciação Científica e Tecnológica do IFG Câmpus Goiânia. Financiamento: IFG e FAPEG.	2017	ORGANIZACAO		IFG Câmpus Goiânia. Financiamento: FAPEG e IFG Câmpus Goiânia.	
{4}		SA, F. P.; BORGES, E. C. L.; FREITAS, L. A.	I Mostra Científica - Câmpus Inhumas	2017	ORGANIZACAO		Instituto Federal de Educação, Ciência e Tecnologia de Goiás	
{11}		VARGAS, M. R.; BARBOSA, D. P.; OLIVEIRA, S. B.; FERNANDES, I. L.; CANDIDO, R.; CARDOSO, J. R.	X Encontro Nacional de Tecnologia Química	2017	NAO_INFORMADO		Associação Basileira de Química	
{11}		BARBOSA, D. P.; VARGAS, M. R.; OLIVEIRA, S. B.	IX Encontro Nacional de Tecnologia Química	2016	ORGANIZACAO		Associação Brasileira de Química	
{13}		CALIXTO, W. P.; FILHO MACHAD, H. B.; BORGES, T. T.	Comitê Técnico Científico da IV Semana de Engenharia e Tecnologia do Instituto Federal de Goiás (Campus Goiânia)	2016	ORGANIZACAO		Instituto Federal de Goiás	
{6}		CAMPOS, L. C.; DA FONSECA-ZANG, W. A.; ZANG, J. W.; SCHIMIDT, F.	Workshop on Water, Sanitation and Energy Nexus	2016	ORGANIZACAO		Instituto Federal de Educação, Ciência e Tecnologia de Goiás	
{7}		DOMINGOS, J. L.; SANTOS, N. P.; PARDIM, J. R.	VI Seminário Local de Inciação Científica e Tecnológica do Câmpus Goiânia do IFG	2016	NAO_INFORMADO		Câmpus Goiânia do Instituto Federal de Goiás	
{5}		FONSECA-ZANG, W. A.; CAMPOS, L. C.; ZANG, J. W.; SCHMIDT, F.	Workshop de doutores do Reino Unido e do Brasil com o tema: Água, Saneamento e Energia Conexa?	2016	ORGANIZACAO		Instituto Federal de Goiás (IFG), University College London (UCL), FAPEG,  Newton Fund e Conselho do Reino Unido	
{6}		ZANG, J. W.; DA FONSECA-ZANG, W. A.	6o Encontro Brasileiro-Alemão para Produção Sustentável no Cerrado	2016	ORGANIZACAO		Instituto Federal de Educação, Ciência e Tecnologia de Goiás	
